County,City
Adair,Stilwell
Alfalfa,Cherokee
Atoka,Atoka
Beaver,Beaver
Beckham,Sayre
Blaine,Watonga
Bryan,Durant
Caddo,Anadarko
Canadian,El Reno
Carter,Ardmore
Cherokee,Tahlequah
Choctaw,Hugo
Cimarron,Boise City
Cleveland,Norman
Coal,Coalgate
Comanche,Lawton
Cotton,Walters
Craig,Vinita
Creek,Sapulpa
Custer,Arapaho
Delaware,Jay
Dewey,Taloga
Ellis,Arnett
Garfield,Enid
Garvin,Pauls Valley
Grady,Chickasha
Grant,Medford
Greer,Mangum
Harmon,Hollis
Harper,Buffalo
Haskell,Stigler
Hughes,Holdenville
Jackson,Altus
Jefferson,Waurika
Johnston,Tishomingo
Kay,Newkirk
Kingfisher,Kingfisher
Kiowa,Hobart
Latimer,Wilburton
Le Flore,Poteau
Lincoln,Chandler
Logan,Guthrie
Love,Marietta
Major,Fairview
Marshall,Madill
Mayes,Pryor
McClain,Purcell
McCurtain,Idabel
McIntosh,Eufaula
Murray,Sulphur
Muskogee,Muskogee
Noble,Perry
Nowata,Nowata
Okfuskee,Okemah
Oklahoma,Oklahoma City
Okmulgee,Okmulgee
Osage,Pawhuska
Ottawa,Miami
Pawnee,Pawnee
Payne,Stillwater
Pittsburg,McAlester
Pontotoc,Ada
Pottawatomie,Shawnee
Pushmataha,Antlers
Roger Mills,Cheyenne
Rogers,Claremore
Seminole,Wewoka
Sequoyah,Sallisaw
Stephens,Duncan
Texas,Guymon
Tillman,Frederick
Tulsa,Tulsa
Wagoner,Wagoner
Washington,Bartlesville
Washita,Cordell
Woods,Alva
Woodward,Woodward